1t002:015	(4) 5a	@	-	lastensynnyttämisen␣
1t002:015	3	@	-	kautta
1t002:015	5b	,	-	,␣
1t002:015	6	@	-	jos␣
1t002:015	7	(@)	-	hän␣
1t002:015	7	@	-	pysyy␣
1t002:015	9	@	-	uskossa␣
1t002:015	8	%case	LOC	
1t002:015	10	@	-	ja␣
1t002:015	11	@	-	rakkaudessa␣
1t002:015	12	@	-	ja␣
1t002:015	13	@	-	pyhityksessä␣
1t002:015	14	@	-	ynnä␣
1t002:015	15a	@	-	siveydessä
1t002:015	15b	.	-	.␣
1t003:001	1t003:001	1t003:001	VERSE	1Tm␣3:1␣
1t003:001	1	@	-	Varma␣
1t003:001	-	(@)	-	on␣
1t003:001	2	@	-	tämä␣
1t003:001	3a	@	-	sana
1t003:001	3b	:	-	:␣
1t003:001	4	@	-	jos␣
1t003:001	5	@	-	joku␣
1t003:001	7a	@	-	pyrkii␣
1t003:001	6	@	-	seurakunnan␣
